run_id,crest_factor_threshold,lat_threshold,window_ms,min_decay,eps,gatekeeper_accuracy,gatekeeper_specificity,gatekeeper_precision,gatekeeper_recall,gatekeeper_f1,tracker_precision,tracker_recall,tracker_f1
run_001,3.0,0.15,125,0.15,0.08,0.617,0.274,0.608,0.887,0.721,0.766,0.863,0.811
run_002,3.0,0.15,125,0.15,0.12,0.618,0.236,0.604,0.918,0.729,0.759,0.894,0.821
run_003,3.0,0.15,125,0.15,0.15,0.614,0.219,0.6,0.925,0.728,0.753,0.906,0.823
run_004,5.0,0.15,125,0.15,0.08,0.696,0.592,0.707,0.777,0.741,0.815,0.729,0.77
run_005,5.0,0.15,125,0.15,0.12,0.7,0.57,0.703,0.803,0.75,0.81,0.754,0.781
run_006,5.0,0.15,125,0.15,0.15,0.695,0.547,0.694,0.81,0.748,0.805,0.765,0.784
