run_id,crest_factor_threshold,lat_threshold,window_ms,min_decay,eps,gatekeeper_accuracy,gatekeeper_specificity,gatekeeper_precision,gatekeeper_recall,gatekeeper_f1,tracker_precision,tracker_recall,tracker_f1
run_001,3.0,0.15,125,0.15,0.08,0.613,0.373,0.619,0.802,0.698,0.797,0.757,0.776
run_002,3.0,0.15,125,0.15,0.12,0.618,0.336,0.616,0.84,0.711,0.777,0.798,0.787
run_003,3.0,0.15,125,0.15,0.15,0.608,0.296,0.606,0.854,0.709,0.77,0.819,0.793
run_004,5.0,0.15,125,0.15,0.08,0.637,0.757,0.739,0.543,0.626,0.851,0.505,0.634
run_005,5.0,0.15,125,0.15,0.12,0.637,0.72,0.721,0.572,0.638,0.832,0.537,0.653
run_006,5.0,0.15,125,0.15,0.15,0.63,0.693,0.706,0.581,0.637,0.821,0.552,0.66
