run_id,crest_factor_threshold,lat_threshold,window_ms,min_decay,eps,gatekeeper_accuracy,gatekeeper_specificity,gatekeeper_precision,gatekeeper_recall,gatekeeper_f1,tracker_precision,tracker_recall,tracker_f1
run_001,3.0,0.15,125,0.15,0.08,0.615,0.296,0.61,0.866,0.716,0.754,0.817,0.784
run_002,3.0,0.15,125,0.15,0.12,0.61,0.243,0.601,0.899,0.721,0.749,0.859,0.8
run_003,3.0,0.15,125,0.15,0.15,0.612,0.232,0.601,0.911,0.724,0.743,0.875,0.804
run_004,5.0,0.15,125,0.15,0.08,0.696,0.651,0.727,0.73,0.729,0.793,0.674,0.728
run_005,5.0,0.15,125,0.15,0.12,0.698,0.603,0.712,0.774,0.742,0.786,0.712,0.747
run_006,5.0,0.15,125,0.15,0.15,0.699,0.589,0.708,0.786,0.745,0.782,0.728,0.754
