run_id,crest_factor_threshold,lat_threshold,window_ms,min_decay,eps,global_precision,global_recall,global_f1
run_001,3.0,0.15,100,0.0,0.12,0.337,0.63,0.439
run_002,3.0,0.15,100,0.0,0.18,0.313,0.641,0.421
run_003,3.0,0.15,100,0.15,0.12,0.337,0.63,0.439
run_004,3.0,0.15,100,0.15,0.18,0.315,0.641,0.422
run_005,3.0,0.15,200,0.0,0.12,0.343,0.763,0.473
run_006,3.0,0.15,200,0.0,0.18,0.334,0.802,0.472
run_007,3.0,0.15,200,0.15,0.12,0.344,0.763,0.474
run_008,3.0,0.15,200,0.15,0.18,0.335,0.802,0.473
run_009,3.0,0.35,100,0.0,0.12,0.337,0.63,0.439
run_010,3.0,0.35,100,0.0,0.18,0.313,0.641,0.421
run_011,3.0,0.35,100,0.15,0.12,0.337,0.63,0.439
run_012,3.0,0.35,100,0.15,0.18,0.315,0.641,0.422
run_013,3.0,0.35,200,0.0,0.12,0.343,0.763,0.473
run_014,3.0,0.35,200,0.0,0.18,0.334,0.802,0.472
run_015,3.0,0.35,200,0.15,0.12,0.344,0.763,0.474
run_016,3.0,0.35,200,0.15,0.18,0.335,0.802,0.473
run_017,5.0,0.15,100,0.0,0.12,0.327,0.228,0.269
run_018,5.0,0.15,100,0.0,0.18,0.295,0.237,0.263
run_019,5.0,0.15,100,0.15,0.12,0.327,0.228,0.269
run_020,5.0,0.15,100,0.15,0.18,0.295,0.237,0.263
run_021,5.0,0.15,200,0.0,0.12,0.295,0.311,0.303
run_022,5.0,0.15,200,0.0,0.18,0.283,0.337,0.308
run_023,5.0,0.15,200,0.15,0.12,0.295,0.311,0.303
run_024,5.0,0.15,200,0.15,0.18,0.284,0.337,0.308
run_025,5.0,0.35,100,0.0,0.12,0.327,0.228,0.269
run_026,5.0,0.35,100,0.0,0.18,0.295,0.237,0.263
run_027,5.0,0.35,100,0.15,0.12,0.327,0.228,0.269
run_028,5.0,0.35,100,0.15,0.18,0.295,0.237,0.263
run_029,5.0,0.35,200,0.0,0.12,0.295,0.311,0.303
run_030,5.0,0.35,200,0.0,0.18,0.283,0.337,0.308
run_031,5.0,0.35,200,0.15,0.12,0.295,0.311,0.303
run_032,5.0,0.35,200,0.15,0.18,0.284,0.337,0.308
