run_id,crest_factor_threshold,lat_threshold,window_ms,min_decay,eps,gatekeeper_accuracy,gatekeeper_specificity,gatekeeper_precision,gatekeeper_recall,gatekeeper_f1,tracker_precision,tracker_recall,tracker_f1
run_001,3.0,0.3,125,0.0,0.03,0.63,0.663,0.663,0.6,0.63,0.853,0.519,0.645
run_002,3.0,0.3,125,0.0,0.06,0.58,0.419,0.58,0.726,0.645,0.736,0.624,0.675
run_003,3.0,0.3,125,0.0,0.12,0.547,0.302,0.549,0.768,0.64,0.66,0.675,0.667
run_004,3.0,0.3,125,0.15,0.03,0.63,0.663,0.663,0.6,0.63,0.853,0.519,0.645
run_005,3.0,0.3,125,0.15,0.06,0.58,0.419,0.58,0.726,0.645,0.736,0.624,0.675
run_006,3.0,0.3,125,0.15,0.12,0.547,0.302,0.549,0.768,0.64,0.662,0.675,0.669
run_007,3.0,0.5,125,0.0,0.03,0.63,0.663,0.663,0.6,0.63,0.853,0.519,0.645
run_008,3.0,0.5,125,0.0,0.06,0.58,0.419,0.58,0.726,0.645,0.736,0.624,0.675
run_009,3.0,0.5,125,0.0,0.12,0.547,0.302,0.549,0.768,0.64,0.66,0.675,0.667
run_010,3.0,0.5,125,0.15,0.03,0.63,0.663,0.663,0.6,0.63,0.853,0.519,0.645
run_011,3.0,0.5,125,0.15,0.06,0.58,0.419,0.58,0.726,0.645,0.736,0.624,0.675
run_012,3.0,0.5,125,0.15,0.12,0.547,0.302,0.549,0.768,0.64,0.662,0.675,0.669
