sound_id,name,username,license,tags,preview_url,local_path
461681,09 Car engine.wav,15HPanska_Ruttner_Jan,http://creativecommons.org/publicdomain/zero/1.0/,"CZ,Czech,Panska,car,engine",https://cdn.freesound.org/previews/461/461681_9679617-hq.ogg,../data/audio/car-engine/461681_9679617-hq.ogg
614695,"E-type Jaguar, car engine, rev-twice ,mono.wav",Dan_AudioFile,https://creativecommons.org/licenses/by/4.0/,"car,engine,field-recording,ignition,motor,vehicle",https://cdn.freesound.org/previews/614/614695_12932169-hq.ogg,../data/audio/car-engine/614695_12932169-hq.ogg
553183,Enter car with running engine,NachtmahrTV,http://creativecommons.org/publicdomain/zero/1.0/,"a2,audi,car,close,door,driving,engine,enter,inside,motor,open,outside,running-engine,stop,vehicle",https://cdn.freesound.org/previews/553/553183_5620304-hq.ogg,../data/audio/car-engine/553183_5620304-hq.ogg
106486,4banger_engine_outside_1.aiff,KlankOntwerp,https://creativecommons.org/licenses/by-nc/4.0/,"car,engine,idle",https://cdn.freesound.org/previews/106/106486_472770-hq.ogg,../data/audio/car-engine/106486_472770-hq.ogg
548468,Car engine starting.wav,Dienamyte,http://creativecommons.org/publicdomain/zero/1.0/,"car,engine,vehicle",https://cdn.freesound.org/previews/548/548468_12285214-hq.ogg,../data/audio/car-engine/548468_12285214-hq.ogg
663680,Car5.m4a,alexrmadrid717,http://creativecommons.org/publicdomain/zero/1.0/,"car,engine,sound",https://cdn.freesound.org/previews/663/663680_14533288-hq.ogg,../data/audio/car-engine/663680_14533288-hq.ogg
682768,Car engine turning on; distant.WAV,thomasanthony321,http://creativecommons.org/publicdomain/zero/1.0/,"car,engine,vehicle",https://cdn.freesound.org/previews/682/682768_14662423-hq.ogg,../data/audio/car-engine/682768_14662423-hq.ogg
763292,Car Engine starting up,EthanKruger241192,https://creativecommons.org/licenses/by-nc/4.0/,"OWI,car,engine,motor,starting",https://cdn.freesound.org/previews/763/763292_16527655-hq.ogg,../data/audio/car-engine/763292_16527655-hq.ogg
250942,car engine.wav,pmartinez13,http://creativecommons.org/licenses/by/3.0/,"car,engine,sound,vehicle",https://cdn.freesound.org/previews/250/250942_4609410-hq.ogg,../data/audio/car-engine/250942_4609410-hq.ogg
768985,car_9,annker,http://creativecommons.org/publicdomain/zero/1.0/,"Tampere,car,city,engine,field-recording",https://cdn.freesound.org/previews/768/768985_16591350-hq.ogg,../data/audio/car-engine/768985_16591350-hq.ogg
664115,car22.wav,oikarit,http://creativecommons.org/publicdomain/zero/1.0/,"car,engine,field-recording,pass-by,winter",https://cdn.freesound.org/previews/664/664115_14546444-hq.ogg,../data/audio/car-engine/664115_14546444-hq.ogg
838720,car_rain_06,nsdhhdw,http://creativecommons.org/publicdomain/zero/1.0/,"car,engine,rain,vehicle",https://cdn.freesound.org/previews/838/838720_18262122-hq.ogg,../data/audio/car-engine/838720_18262122-hq.ogg
182092,04234 American car fast drive away.wav,Robinhood76,https://creativecommons.org/licenses/by-nc/4.0/,"american,away,car,departure,drive,drive-away,drive-off,engine,large,petrol,vehicle",https://cdn.freesound.org/previews/182/182092_321967-hq.ogg,../data/audio/car-engine/182092_321967-hq.ogg
644420,Car Engine Start.wav,wesleywestmusic,http://creativecommons.org/publicdomain/zero/1.0/,"car,drive,driving,engine,motor,renault,vehicle,wesley,west",https://cdn.freesound.org/previews/644/644420_14164674-hq.ogg,../data/audio/car-engine/644420_14164674-hq.ogg
772060,Car08,parsakaali,http://creativecommons.org/publicdomain/zero/1.0/,"car,engine,vehicle",https://cdn.freesound.org/previews/772/772060_16531723-hq.ogg,../data/audio/car-engine/772060_16531723-hq.ogg
788513,car engine,Baderomar96,https://creativecommons.org/licenses/by/4.0/,"car,engine,vehicle",https://cdn.freesound.org/previews/788/788513_16898295-hq.ogg,../data/audio/car-engine/788513_16898295-hq.ogg
772567,car-022,visu123,http://creativecommons.org/publicdomain/zero/1.0/,"car,engine,vehicle",https://cdn.freesound.org/previews/772/772567_16649625-hq.ogg,../data/audio/car-engine/772567_16649625-hq.ogg
479351,Car Engine Starting,Grasopt,http://creativecommons.org/publicdomain/zero/1.0/,"car,deafener,engine,exhaust,exhaust-pipe,field-recording,foley,grasopt,motor,start,street",https://cdn.freesound.org/previews/479/479351_6323727-hq.ogg,../data/audio/car-engine/479351_6323727-hq.ogg
715757,Car 25,ovpe100,http://creativecommons.org/publicdomain/zero/1.0/,"car,engine,traffic",https://cdn.freesound.org/previews/715/715757_3372324-hq.ogg,../data/audio/car-engine/715757_3372324-hq.ogg
660321,car4.wav,lndip,http://creativecommons.org/publicdomain/zero/1.0/,"Tampere,car,engine",https://cdn.freesound.org/previews/660/660321_14487744-hq.ogg,../data/audio/car-engine/660321_14487744-hq.ogg
657166,car30.wav,vhaavisto,http://creativecommons.org/publicdomain/zero/1.0/,"car,engine,tampere",https://cdn.freesound.org/previews/657/657166_14442992-hq.ogg,../data/audio/car-engine/657166_14442992-hq.ogg
558848,Car Engine Starting.mp3,DigPro120,http://creativecommons.org/publicdomain/zero/1.0/,"car,engine,motor,start,vehicle",https://cdn.freesound.org/previews/558/558848_7414526-hq.ogg,../data/audio/car-engine/558848_7414526-hq.ogg
498217,11_start engine.wav,16GPanskasSoun_David,http://creativecommons.org/publicdomain/zero/1.0/,"CZ,Czech,Panska,car,engine,noise,start",https://cdn.freesound.org/previews/498/498217_10813417-hq.ogg,../data/audio/car-engine/498217_10813417-hq.ogg
571344,car engine starting.wav,99021905683,http://creativecommons.org/publicdomain/zero/1.0/,"car,drive,engine,motor,starting",https://cdn.freesound.org/previews/571/571344_12894507-hq.ogg,../data/audio/car-engine/571344_12894507-hq.ogg
384412,Turning off engine & removing the car key,Caitlin_100,http://creativecommons.org/publicdomain/zero/1.0/,"Off,car,engine,ignition,key,keys,remove,removing,switch",https://cdn.freesound.org/previews/384/384412_5407590-hq.ogg,../data/audio/car-engine/384412_5407590-hq.ogg
833812,car-engine-starting,madracha,http://creativecommons.org/publicdomain/zero/1.0/,"car,engine,field-recording,sound-effects,vehicle",https://cdn.freesound.org/previews/833/833812_16526104-hq.ogg,../data/audio/car-engine/833812_16526104-hq.ogg
508650,car engine .m4a,margaridafragata,http://creativecommons.org/publicdomain/zero/1.0/,"car,engine,motor",https://cdn.freesound.org/previews/508/508650_11085504-hq.ogg,../data/audio/car-engine/508650_11085504-hq.ogg
275402,Volkswagen Type 2_inside car_engine.wav,nhaudio,https://creativecommons.org/licenses/by/4.0/,"car,engine,inside,motor,revving,throttle,type2,van,vehicle,volkswagen",https://cdn.freesound.org/previews/275/275402_3017701-hq.ogg,../data/audio/car-engine/275402_3017701-hq.ogg
345559,"Car, Engine Off, A.wav",InspectorJ,https://creativecommons.org/licenses/by/4.0/,"Car,Engine,Exterior,Off,Vehicle,car,engine,exterior,off,vehicle",https://cdn.freesound.org/previews/345/345559_5121236-hq.ogg,../data/audio/car-engine/345559_5121236-hq.ogg
176638,peugot 206 car exterior engine stationary horn claxon reverb,jorickhoofd,https://creativecommons.org/licenses/by/4.0/,"206,car,claxon,engine,exterior,hall,horn,peugot,reverb,reverby,stationary",https://cdn.freesound.org/previews/176/176638_2888453-hq.ogg,../data/audio/car-engine/176638_2888453-hq.ogg
181565,Engine Running 2.wav,kingsrow,http://creativecommons.org/publicdomain/zero/1.0/,"car,engine,running",https://cdn.freesound.org/previews/181/181565_1857065-hq.ogg,../data/audio/car-engine/181565_1857065-hq.ogg
181564,Engine Running.wav,kingsrow,http://creativecommons.org/publicdomain/zero/1.0/,"car,engine,running",https://cdn.freesound.org/previews/181/181564_1857065-hq.ogg,../data/audio/car-engine/181564_1857065-hq.ogg
380936,splash remixed - engine.wav,mricken1,http://creativecommons.org/publicdomain/zero/1.0/,"car,engine,revving",https://cdn.freesound.org/previews/380/380936_7043106-hq.ogg,../data/audio/car-engine/380936_7043106-hq.ogg
371832,J2_Engine_Start.mp3,Iamgiorgio,http://creativecommons.org/publicdomain/zero/1.0/,"car,engine,start",https://cdn.freesound.org/previews/371/371832_5302340-hq.ogg,../data/audio/car-engine/371832_5302340-hq.ogg
544147,Car turning on sound.wav,Rosa-Orenes256,http://creativecommons.org/publicdomain/zero/1.0/,"automobile,car,engine,ignition,motor,start,vehicle",https://cdn.freesound.org/previews/544/544147_11966684-hq.ogg,../data/audio/car-engine/544147_11966684-hq.ogg
