sound_id,name,username,license,tags,preview_url,local_path
84712,high heels rmk.wav,cmusounddesign,https://creativecommons.org/licenses/by/4.0/,"footsteps,heels,high,high-heels,shoes,walking",https://cdn.freesound.org/previews/84/84712_1059930-hq.ogg,../data/audio/high-heels/84712_1059930-hq.ogg
813381,Steps in high heels,Luisa_Sanchez,http://creativecommons.org/publicdomain/zero/1.0/,"Steps,caminar,heels,high,highheels,pasos,tacones,walk",https://cdn.freesound.org/previews/813/813381_17552599-hq.ogg,../data/audio/high-heels/813381_17552599-hq.ogg
434753,FAST WALK ON HIGH HEELS  .wav,djfroyd,http://creativecommons.org/licenses/by/3.0/,"concrete,feet,female,foot,footstep,footsteps,heels,high,highheels,run,running,step,steps,walk,walking,woman",https://cdn.freesound.org/previews/434/434753_4766646-hq.ogg,../data/audio/high-heels/434753_4766646-hq.ogg
452532,high heels.wav,derekdincer,http://creativecommons.org/publicdomain/zero/1.0/,"echo,footsteps,heels,high,shoes,steps,walking",https://cdn.freesound.org/previews/452/452532_7986892-hq.ogg,../data/audio/high-heels/452532_7986892-hq.ogg
571801,Walking in High Heels,NachtmahrTV,http://creativecommons.org/publicdomain/zero/1.0/,"boots,concrete,feet,floor,foley,foot,footstep,footsteps,heels,high,shoes,step,steps,walk,walking",https://cdn.freesound.org/previews/571/571801_5620304-hq.ogg,../data/audio/high-heels/571801_5620304-hq.ogg
117608,High Heels on Wooden Floor,mefrancis13,http://creativecommons.org/publicdomain/zero/1.0/,"creep,feet,footstep,footsteps,heels,high,shoe,shoes,slow,slowly,step,steps,walk,walking,woman",https://cdn.freesound.org/previews/117/117608_2056891-hq.ogg,../data/audio/high-heels/117608_2056891-hq.ogg
172356,High heels on marble floor,avakas,https://creativecommons.org/licenses/by/4.0/,"heels,high-heels,indoor,marble,walking,woman",https://cdn.freesound.org/previews/172/172356_1467893-hq.ogg,../data/audio/high-heels/172356_1467893-hq.ogg
482331,high heel fall.wav,bbowermaster,http://creativecommons.org/publicdomain/zero/1.0/,"High-heel,concrete,fall,fall-in-high-heels,heel,high,high-heel-fall,outside,sidewalk",https://cdn.freesound.org/previews/482/482331_6275686-hq.ogg,../data/audio/high-heels/482331_6275686-hq.ogg
172362,High heels on wooden floor,avakas,https://creativecommons.org/licenses/by/4.0/,"approaching,heels,high-heels,indoor,walking,woman,wood,wooden-floor",https://cdn.freesound.org/previews/172/172362_1467893-hq.ogg,../data/audio/high-heels/172362_1467893-hq.ogg
172357,High heels on marble floor,avakas,https://creativecommons.org/licenses/by/4.0/,"heels,high-heels,indoor,marble,turn,walking,woman",https://cdn.freesound.org/previews/172/172357_1467893-hq.ogg,../data/audio/high-heels/172357_1467893-hq.ogg
