sound_id,name,username,license,tags,preview_url,local_path
171090,Flowing water and flow though canal.wav,michael_kur95,http://creativecommons.org/publicdomain/zero/1.0/,"Canal,Dungeon,Flowing,Home,Washbasin,Water",https://cdn.freesound.org/previews/171/171090_2736373-hq.ogg,../data/audio/water-flowing/171090_2736373-hq.ogg
550896,water.mp3,7can,https://creativecommons.org/licenses/by-nc/4.0/,"babbling,effect,film,flow,flowing,lake,liquid,relaxing,river,stream,su,water",https://cdn.freesound.org/previews/550/550896_7893846-hq.ogg,../data/audio/water-flowing/550896_7893846-hq.ogg
627008,Water Stream2,rosenberg3,http://creativecommons.org/publicdomain/zero/1.0/,"creek,flowing,stream,water",https://cdn.freesound.org/previews/627/627008_13855267-hq.ogg,../data/audio/water-flowing/627008_13855267-hq.ogg
410989,Water.mp3,AFrocks,http://creativecommons.org/publicdomain/zero/1.0/,"field-recording,flowing,foley-recording,nature,stream,water",https://cdn.freesound.org/previews/410/410989_7990428-hq.ogg,../data/audio/water-flowing/410989_7990428-hq.ogg
39831,AMBIENT LOOP - River water by Field.mp3,Arctura,http://creativecommons.org/licenses/by/3.0/,"birds,bugs,chirp,chirping,chirps,clean,creek,cricket,crickets,field,field-recording,fields,flowing,gushing,hiss,hissing,insects,loop,natural,nature,outdoors,river,stream,water",https://cdn.freesound.org/previews/39/39831_28216-hq.ogg,../data/audio/water-flowing/39831_28216-hq.ogg
624096,Water flowing into a drain 1,Magnesus,http://creativecommons.org/publicdomain/zero/1.0/,"babbling,brook,creek,drain,flow,flowing,liquid,river,splash,stream,water,waterfall",https://cdn.freesound.org/previews/624/624096_2008500-hq.ogg,../data/audio/water-flowing/624096_2008500-hq.ogg
699755,Water Gently Flowing Down A Small Brook.wav,8bitmyketison,http://creativecommons.org/publicdomain/zero/1.0/,"brook,field-recording,flowing,found-sounds,running,sfx,stream,water",https://cdn.freesound.org/previews/699/699755_15173053-hq.ogg,../data/audio/water-flowing/699755_15173053-hq.ogg
245225,running water hydrophone 001.wav,klankbeeld,https://creativecommons.org/licenses/by/4.0/,"bubbles,field-recording,flow,flowing,hydrophone,nature,outdoor,pour,pouring,run,running,sound,stereo,stream,streaming,surround,under-water,water",https://cdn.freesound.org/previews/245/245225_1648170-hq.ogg,../data/audio/water-flowing/245225_1648170-hq.ogg
665212,STE ARROYO II.wav,Bagabond0,http://creativecommons.org/publicdomain/zero/1.0/,"creek,flow,flowing,water",https://cdn.freesound.org/previews/665/665212_6534813-hq.ogg,../data/audio/water-flowing/665212_6534813-hq.ogg
391696,jp_waterflow.ogg,JPolito,https://creativecommons.org/licenses/by/4.0/,"babbling,brook,creek,flow,flowing,liquid,nature,rain,river,stream,trickle,water,water-flow,waterflow",https://cdn.freesound.org/previews/391/391696_149792-hq.ogg,../data/audio/water-flowing/391696_149792-hq.ogg
828063,sink running,rabeladdie,http://creativecommons.org/publicdomain/zero/1.0/,"flowing,liquid,sink,stream,water",https://cdn.freesound.org/previews/828/828063_17908325-hq.ogg,../data/audio/water-flowing/828063_17908325-hq.ogg
201814,QUENTIN_Agathe_2013_2014_son2.wav,univ_lyon3,http://creativecommons.org/publicdomain/zero/1.0/,"drop,flowing,fluid,handbasin,tap,washbasin,water",https://cdn.freesound.org/previews/201/201814_2465261-hq.ogg,../data/audio/water-flowing/201814_2465261-hq.ogg
790041,Water Fountain,ishaanbidaye01,http://creativecommons.org/publicdomain/zero/1.0/,"bubbling,flow,flowing,fountain,stream,water",https://cdn.freesound.org/previews/790/790041_16970763-hq.ogg,../data/audio/water-flowing/790041_16970763-hq.ogg
658825,Water 360 degree pan (7.1 Surround),3DJ,https://creativecommons.org/licenses/by/4.0/,"flowing,fountain,running,stream,water",https://cdn.freesound.org/previews/658/658825_12822735-hq.ogg,../data/audio/water-flowing/658825_12822735-hq.ogg
321592,Running water,macdaddyno1,http://creativecommons.org/publicdomain/zero/1.0/,"flowing,pump,river,running,stream,water",https://cdn.freesound.org/previews/321/321592_313780-hq.ogg,../data/audio/water-flowing/321592_313780-hq.ogg
419119,Flowing Stream.mp3,SomeoneCool15,http://creativecommons.org/publicdomain/zero/1.0/,"Creek,Flowing,Lake,Loop,River,Stream,Water",https://cdn.freesound.org/previews/419/419119_8326967-hq.ogg,../data/audio/water-flowing/419119_8326967-hq.ogg
402323,Filling a glass with water.wav,straget,http://creativecommons.org/publicdomain/zero/1.0/,"field-recording,filling,flow,flowing,glass,h4n,liquid,stream,thirsty,water,zoom",https://cdn.freesound.org/previews/402/402323_7707368-hq.ogg,../data/audio/water-flowing/402323_7707368-hq.ogg
380172,water louder.mp3,anagato,http://creativecommons.org/publicdomain/zero/1.0/,"flowing,river,stream,water",https://cdn.freesound.org/previews/380/380172_7048306-hq.ogg,../data/audio/water-flowing/380172_7048306-hq.ogg
848872,Trickling-003,WhiteRuby,https://creativecommons.org/licenses/by/4.0/,"flow,flowing,liquid,relaxing,river,stream,trickle,water",https://cdn.freesound.org/previews/848/848872_13597593-hq.ogg,../data/audio/water-flowing/848872_13597593-hq.ogg
847975,Water going down a storm drain,Ash128,https://creativecommons.org/licenses/by/4.0/,"ambient,babbling,brook,creek,drain,draining,drip,flow,flowing,gurgle,liquid,nature,pour,relaxing,river,splash,splashing,storm-drain,stream,water",https://cdn.freesound.org/previews/847/847975_16027555-hq.ogg,../data/audio/water-flowing/847975_16027555-hq.ogg
