sound_id,name,username,license,tags,preview_url,local_path
765153,Gun Shot 3 Times,MieckevanHoek,http://creativecommons.org/publicdomain/zero/1.0/,"Gun,OWI,Shooting",https://cdn.freesound.org/previews/765/765153_15764256-hq.ogg,"../data/audio/""3-times""/765153_15764256-hq.ogg"
655124,Dog Barking 3 times.wav,221339,https://creativecommons.org/licenses/by/4.0/,"Animal,Dog,Loud,OWI,Outside,SFX,Small-dog",https://cdn.freesound.org/previews/655/655124_13789330-hq.ogg,"../data/audio/""3-times""/655124_13789330-hq.ogg"
722978,Wood Knocking 3 Times,SamsCollegeAccount,http://creativecommons.org/publicdomain/zero/1.0/,"3,aggressive,creepy,knocking,three,wood",https://cdn.freesound.org/previews/722/722978_15435613-hq.ogg,"../data/audio/""3-times""/722978_15435613-hq.ogg"
453960,door heavy office wood with metal handle close 3 times thud with rattle.flac,kyles,http://creativecommons.org/publicdomain/zero/1.0/,"3,close,door,handle,heavy,metal,office,rattle,thud,times,wood",https://cdn.freesound.org/previews/453/453960_612689-hq.ogg,"../data/audio/""3-times""/453960_612689-hq.ogg"
233665,LEGO Shake (3 times),rioforce,http://creativecommons.org/publicdomain/zero/1.0/,"LEGO,bag,brick,click,drop,fall,plastic,shake,toy",https://cdn.freesound.org/previews/233/233665_4067126-hq.ogg,"../data/audio/""3-times""/233665_4067126-hq.ogg"
565412,b d 1.wav,Logicogonist,http://creativecommons.org/publicdomain/zero/1.0/,"attackless,bass-drum,kick,kick-drum",https://cdn.freesound.org/previews/565/565412_3797507-hq.ogg,"../data/audio/""3-times""/565412_3797507-hq.ogg"
539179,FX - Wood hit,bolkmar,https://creativecommons.org/licenses/by/4.0/,"branch,cinematic,effect,field-recording,film,fx,hit,movie,sfx,sound,soundesign,tree,videogame,wood",https://cdn.freesound.org/previews/539/539179_2927958-hq.ogg,"../data/audio/""3-times""/539179_2927958-hq.ogg"
755431,Ciaran Cummings,NullyNomo,http://creativecommons.org/publicdomain/zero/1.0/,"Voice,emotion,evil,name,saying",https://cdn.freesound.org/previews/755/755431_16347648-hq.ogg,"../data/audio/""3-times""/755431_16347648-hq.ogg"
740073,Daisy Powerline 880 pumping x3 1,FOSSarts,http://creativecommons.org/publicdomain/zero/1.0/,"AirRifle,BBgun,BBs,Daisy-Air-Rifle",https://cdn.freesound.org/previews/740/740073_14631530-hq.ogg,"../data/audio/""3-times""/740073_14631530-hq.ogg"
619592,"CRUMPLE, SMALL 1.wav",tadaa718,http://creativecommons.org/publicdomain/zero/1.0/,"crumple,crumpling,paper,rustling",https://cdn.freesound.org/previews/619/619592_3439106-hq.ogg,"../data/audio/""3-times""/619592_3439106-hq.ogg"
653909,error3.wav,Krokulator,http://creativecommons.org/publicdomain/zero/1.0/,"alert,error,noise,static,warning",https://cdn.freesound.org/previews/653/653909_13579627-hq.ogg,"../data/audio/""3-times""/653909_13579627-hq.ogg"
698520,bell loop.wav,sambbrrrjko,http://creativecommons.org/publicdomain/zero/1.0/,"Arpeggiated-Chord,Arpeggiation,Bell,Bells,SH32,Synth,Synthetic",https://cdn.freesound.org/previews/698/698520_15016286-hq.ogg,"../data/audio/""3-times""/698520_15016286-hq.ogg"
686313,Fists Ready,CJspellsfish,http://creativecommons.org/publicdomain/zero/1.0/,"fighting,fist,fists,one-shot,oneshot,rub,slap",https://cdn.freesound.org/previews/686/686313_13355471-hq.ogg,"../data/audio/""3-times""/686313_13355471-hq.ogg"
684145,BENDHAOU_ines_son1.wav,iut_Paris8,http://creativecommons.org/publicdomain/zero/1.0/,"guitar,instrument,loop,music,rhythm",https://cdn.freesound.org/previews/684/684145_907124-hq.ogg,"../data/audio/""3-times""/684145_907124-hq.ogg"
731199,Wooden Door Being Removed (MS Stereo) 32bit 44.1kHz,djericmark,http://creativecommons.org/publicdomain/zero/1.0/,"construction,construction-foley,construction-sounds,destruction,door,door-FX,door-removal,door-removed,foley,ripping,sfx,sound-FX,sound-effect,tearing,tearing-plaster,tearing-wood,wood,wooden,wooden-door",https://cdn.freesound.org/previews/731/731199_8772782-hq.ogg,"../data/audio/""3-times""/731199_8772782-hq.ogg"
325539,Playing cards being shuffled ,140178sound,http://creativecommons.org/licenses/by-nc/3.0/,"OWI,card,cards,casino,deck,fast,flip,flipping,fun,gamble,gambling,games,mix,play,playing,playing-cards,poker,quick,red-black,shuffle,shuffling",https://cdn.freesound.org/previews/325/325539_5611207-hq.ogg,"../data/audio/""3-times""/325539_5611207-hq.ogg"
324913,Psy Bass 3x 1/4,ArcTis,http://creativecommons.org/publicdomain/zero/1.0/,"172BPM,bass,bassline,goa,psy,psychedelic,psytrance",https://cdn.freesound.org/previews/324/324913_5355382-hq.ogg,"../data/audio/""3-times""/324913_5355382-hq.ogg"
335386,Cristmas ornament bouncing.wav,BerduSmith,http://creativecommons.org/licenses/by-nc/3.0/,"Christmas,OWI,ball,bounce,green,hollow,hop,loop,ornament,plastic,roll,round,sircle",https://cdn.freesound.org/previews/335/335386_5934980-hq.ogg,"../data/audio/""3-times""/335386_5934980-hq.ogg"
341570,Hitting my desk +synthesized.wav,djfroyd,http://creativecommons.org/licenses/by/3.0/,"fist,hit,punch,slap,smack,whack",https://cdn.freesound.org/previews/341/341570_4766646-hq.ogg,"../data/audio/""3-times""/341570_4766646-hq.ogg"
609340,3beep.wav,diogorusso,http://creativecommons.org/publicdomain/zero/1.0/,"3beep,foley,recording",https://cdn.freesound.org/previews/609/609340_11206457-hq.ogg,"../data/audio/""3-times""/609340_11206457-hq.ogg"
