run_id,crest_factor_threshold,lat_threshold,min_decay,eps,window_ms,gatekeeper_accuracy,gatekeeper_specificity,gatekeeper_precision,gatekeeper_recall,gatekeeper_f1,tracker_precision,tracker_recall,tracker_f1
run_050,3.5,0.15,0.15,0.25,125,0.645,0.311,0.626,0.908,0.741,0.752,0.885,0.813
run_051,3.5,0.2,0.1,0.12,125,0.673,0.543,0.683,0.776,0.726,0.813,0.753,0.782
run_052,3.5,0.2,0.1,0.15,125,0.677,0.475,0.669,0.837,0.743,0.786,0.818,0.802
run_053,3.5,0.2,0.1,0.18,125,0.664,0.404,0.649,0.87,0.743,0.767,0.85,0.806
run_054,3.5,0.2,0.1,0.22,125,0.65,0.342,0.633,0.892,0.74,0.754,0.876,0.81
run_055,3.5,0.2,0.1,0.25,125,0.642,0.305,0.624,0.908,0.739,0.75,0.885,0.812
run_056,3.5,0.2,0.15,0.12,125,0.676,0.55,0.686,0.776,0.728,0.815,0.752,0.783
run_057,3.5,0.2,0.15,0.15,125,0.681,0.483,0.673,0.837,0.746,0.788,0.818,0.803
run_058,3.5,0.2,0.15,0.18,125,0.668,0.413,0.653,0.87,0.746,0.769,0.85,0.808
run_059,3.5,0.2,0.15,0.22,125,0.654,0.351,0.636,0.892,0.742,0.756,0.876,0.812
run_060,3.5,0.2,0.15,0.25,125,0.645,0.311,0.626,0.908,0.741,0.752,0.885,0.813
run_061,4.5,0.1,0.1,0.12,125,0.705,0.682,0.743,0.723,0.733,0.825,0.684,0.748
run_062,4.5,0.1,0.1,0.15,125,0.713,0.631,0.728,0.777,0.752,0.8,0.744,0.771
run_063,4.5,0.1,0.1,0.18,125,0.706,0.563,0.704,0.819,0.757,0.782,0.776,0.779
run_064,4.5,0.1,0.1,0.22,125,0.696,0.51,0.686,0.843,0.757,0.771,0.799,0.785
run_065,4.5,0.1,0.1,0.25,125,0.69,0.481,0.676,0.854,0.755,0.765,0.803,0.784
run_066,4.5,0.1,0.15,0.12,125,0.708,0.689,0.747,0.723,0.735,0.827,0.684,0.749
run_067,4.5,0.1,0.15,0.15,125,0.717,0.64,0.733,0.777,0.754,0.802,0.744,0.772
run_068,4.5,0.1,0.15,0.18,125,0.71,0.572,0.708,0.819,0.76,0.784,0.776,0.78
run_069,4.5,0.1,0.15,0.22,125,0.7,0.519,0.69,0.843,0.759,0.773,0.799,0.786
run_070,4.5,0.1,0.15,0.25,125,0.693,0.488,0.679,0.854,0.757,0.767,0.803,0.785
run_071,4.5,0.15,0.1,0.12,125,0.705,0.682,0.743,0.723,0.733,0.825,0.684,0.748
run_072,4.5,0.15,0.1,0.15,125,0.713,0.631,0.728,0.777,0.752,0.8,0.744,0.771
run_073,4.5,0.15,0.1,0.18,125,0.706,0.563,0.704,0.819,0.757,0.782,0.776,0.779
run_074,4.5,0.15,0.1,0.22,125,0.696,0.51,0.686,0.843,0.757,0.771,0.799,0.785
run_075,4.5,0.15,0.1,0.25,125,0.69,0.481,0.676,0.854,0.755,0.765,0.803,0.784
run_076,4.5,0.15,0.15,0.12,125,0.708,0.689,0.747,0.723,0.735,0.827,0.684,0.749
run_077,4.5,0.15,0.15,0.15,125,0.717,0.64,0.733,0.777,0.754,0.802,0.744,0.772
run_078,4.5,0.15,0.15,0.18,125,0.71,0.572,0.708,0.819,0.76,0.784,0.776,0.78
run_079,4.5,0.15,0.15,0.22,125,0.7,0.519,0.69,0.843,0.759,0.773,0.799,0.786
run_080,4.5,0.15,0.15,0.25,125,0.693,0.488,0.679,0.854,0.757,0.767,0.803,0.785
run_081,4.5,0.2,0.1,0.12,125,0.705,0.682,0.743,0.723,0.733,0.825,0.684,0.748
run_082,4.5,0.2,0.1,0.15,125,0.713,0.631,0.728,0.777,0.752,0.8,0.744,0.771
run_083,4.5,0.2,0.1,0.18,125,0.706,0.563,0.704,0.819,0.757,0.782,0.776,0.779
run_084,4.5,0.2,0.1,0.22,125,0.696,0.51,0.686,0.843,0.757,0.771,0.799,0.785
run_085,4.5,0.2,0.1,0.25,125,0.69,0.481,0.676,0.854,0.755,0.765,0.803,0.784
run_086,4.5,0.2,0.15,0.12,125,0.708,0.689,0.747,0.723,0.735,0.827,0.684,0.749
run_087,4.5,0.2,0.15,0.15,125,0.717,0.64,0.733,0.777,0.754,0.802,0.744,0.772
run_088,4.5,0.2,0.15,0.18,125,0.71,0.572,0.708,0.819,0.76,0.784,0.776,0.78
run_089,4.5,0.2,0.15,0.22,125,0.7,0.519,0.69,0.843,0.759,0.773,0.799,0.786
run_090,4.5,0.2,0.15,0.25,125,0.693,0.488,0.679,0.854,0.757,0.767,0.803,0.785
