run_id,crest_factor_threshold,lat_threshold,min_decay,eps,window_ms,gatekeeper_accuracy,gatekeeper_specificity,gatekeeper_precision,gatekeeper_recall,gatekeeper_f1,tracker_precision,tracker_recall,tracker_f1
run_001,2.5,0.1,0.1,0.12,125,0.589,0.115,0.58,0.963,0.724,0.72,0.938,0.815
run_002,2.5,0.1,0.1,0.15,125,0.591,0.11,0.581,0.97,0.727,0.719,0.945,0.817
run_003,2.5,0.1,0.1,0.18,125,0.59,0.106,0.58,0.972,0.726,0.719,0.948,0.818
run_004,2.5,0.1,0.1,0.22,125,0.589,0.102,0.579,0.972,0.726,0.719,0.952,0.819
run_005,2.5,0.1,0.1,0.25,125,0.589,0.102,0.579,0.974,0.726,0.718,0.954,0.819
run_006,2.5,0.1,0.15,0.12,125,0.591,0.119,0.581,0.963,0.725,0.721,0.938,0.815
run_007,2.5,0.1,0.15,0.15,125,0.593,0.115,0.582,0.97,0.728,0.721,0.945,0.818
run_008,2.5,0.1,0.15,0.18,125,0.592,0.11,0.581,0.972,0.727,0.721,0.948,0.819
run_009,2.5,0.1,0.15,0.22,125,0.59,0.106,0.58,0.972,0.726,0.72,0.952,0.82
run_010,2.5,0.1,0.15,0.25,125,0.591,0.106,0.58,0.974,0.727,0.72,0.954,0.82
run_011,2.5,0.15,0.1,0.12,125,0.589,0.115,0.58,0.963,0.724,0.72,0.938,0.815
run_012,2.5,0.15,0.1,0.15,125,0.591,0.11,0.581,0.97,0.727,0.719,0.945,0.817
run_013,2.5,0.15,0.1,0.18,125,0.59,0.106,0.58,0.972,0.726,0.719,0.948,0.818
run_014,2.5,0.15,0.1,0.22,125,0.589,0.102,0.579,0.972,0.726,0.719,0.952,0.819
run_015,2.5,0.15,0.1,0.25,125,0.589,0.102,0.579,0.974,0.726,0.718,0.954,0.819
run_016,2.5,0.15,0.15,0.12,125,0.591,0.119,0.581,0.963,0.725,0.721,0.938,0.815
run_017,2.5,0.15,0.15,0.15,125,0.593,0.115,0.582,0.97,0.728,0.721,0.945,0.818
run_018,2.5,0.15,0.15,0.18,125,0.592,0.11,0.581,0.972,0.727,0.721,0.948,0.819
run_019,2.5,0.15,0.15,0.22,125,0.59,0.106,0.58,0.972,0.726,0.72,0.952,0.82
run_020,2.5,0.15,0.15,0.25,125,0.591,0.106,0.58,0.974,0.727,0.72,0.954,0.82
run_021,2.5,0.2,0.1,0.12,125,0.589,0.115,0.58,0.963,0.724,0.72,0.938,0.815
run_022,2.5,0.2,0.1,0.15,125,0.591,0.11,0.581,0.97,0.727,0.719,0.945,0.817
run_023,2.5,0.2,0.1,0.18,125,0.59,0.106,0.58,0.972,0.726,0.719,0.948,0.818
run_024,2.5,0.2,0.1,0.22,125,0.589,0.102,0.579,0.972,0.726,0.719,0.952,0.819
run_025,2.5,0.2,0.1,0.25,125,0.589,0.102,0.579,0.974,0.726,0.718,0.954,0.819
run_026,2.5,0.2,0.15,0.12,125,0.591,0.119,0.581,0.963,0.725,0.721,0.938,0.815
run_027,2.5,0.2,0.15,0.15,125,0.593,0.115,0.582,0.97,0.728,0.721,0.945,0.818
run_028,2.5,0.2,0.15,0.18,125,0.592,0.11,0.581,0.972,0.727,0.721,0.948,0.819
run_029,2.5,0.2,0.15,0.22,125,0.59,0.106,0.58,0.972,0.726,0.72,0.952,0.82
run_030,2.5,0.2,0.15,0.25,125,0.591,0.106,0.58,0.974,0.727,0.72,0.954,0.82
run_031,3.5,0.1,0.1,0.12,125,0.614,0.23,0.602,0.917,0.726,0.742,0.882,0.806
run_032,3.5,0.1,0.1,0.15,125,0.616,0.225,0.602,0.923,0.729,0.741,0.889,0.808
run_033,3.5,0.1,0.1,0.18,125,0.614,0.219,0.6,0.925,0.728,0.741,0.892,0.81
run_034,3.5,0.1,0.1,0.22,125,0.612,0.214,0.599,0.925,0.727,0.741,0.895,0.811
run_035,3.5,0.1,0.1,0.25,125,0.613,0.214,0.6,0.927,0.728,0.741,0.897,0.811
run_036,3.5,0.1,0.15,0.12,125,0.616,0.234,0.603,0.917,0.727,0.743,0.882,0.806
run_037,3.5,0.1,0.15,0.15,125,0.618,0.23,0.603,0.923,0.73,0.743,0.889,0.809
run_038,3.5,0.1,0.15,0.18,125,0.616,0.223,0.602,0.925,0.729,0.743,0.892,0.81
run_039,3.5,0.1,0.15,0.22,125,0.614,0.219,0.6,0.925,0.728,0.742,0.895,0.811
run_040,3.5,0.1,0.15,0.25,125,0.615,0.219,0.601,0.927,0.729,0.742,0.897,0.812
run_041,3.5,0.15,0.1,0.12,125,0.614,0.23,0.602,0.917,0.726,0.742,0.882,0.806
run_042,3.5,0.15,0.1,0.15,125,0.616,0.225,0.602,0.923,0.729,0.741,0.889,0.808
run_043,3.5,0.15,0.1,0.18,125,0.614,0.219,0.6,0.925,0.728,0.741,0.892,0.81
run_044,3.5,0.15,0.1,0.22,125,0.612,0.214,0.599,0.925,0.727,0.741,0.895,0.811
run_045,3.5,0.15,0.1,0.25,125,0.613,0.214,0.6,0.927,0.728,0.741,0.897,0.811
run_046,3.5,0.15,0.15,0.12,125,0.616,0.234,0.603,0.917,0.727,0.743,0.882,0.806
run_047,3.5,0.15,0.15,0.15,125,0.618,0.23,0.603,0.923,0.73,0.743,0.889,0.809
run_048,3.5,0.15,0.15,0.18,125,0.616,0.223,0.602,0.925,0.729,0.743,0.892,0.81
run_049,3.5,0.15,0.15,0.22,125,0.614,0.219,0.6,0.925,0.728,0.742,0.895,0.811
