run_id,crest_factor_threshold,lat_threshold,min_decay,eps,window_ms,gatekeeper_accuracy,gatekeeper_specificity,gatekeeper_precision,gatekeeper_recall,gatekeeper_f1,tracker_precision,tracker_recall,tracker_f1
run_050,3.5,0.15,0.15,0.25,125,0.615,0.219,0.601,0.927,0.729,0.742,0.897,0.812
run_051,3.5,0.2,0.1,0.12,125,0.614,0.23,0.602,0.917,0.726,0.742,0.882,0.806
run_052,3.5,0.2,0.1,0.15,125,0.616,0.225,0.602,0.923,0.729,0.741,0.889,0.808
run_053,3.5,0.2,0.1,0.18,125,0.614,0.219,0.6,0.925,0.728,0.741,0.892,0.81
run_054,3.5,0.2,0.1,0.22,125,0.612,0.214,0.599,0.925,0.727,0.741,0.895,0.811
run_055,3.5,0.2,0.1,0.25,125,0.613,0.214,0.6,0.927,0.728,0.741,0.897,0.811
run_056,3.5,0.2,0.15,0.12,125,0.616,0.234,0.603,0.917,0.727,0.743,0.882,0.806
run_057,3.5,0.2,0.15,0.15,125,0.618,0.23,0.603,0.923,0.73,0.743,0.889,0.809
run_058,3.5,0.2,0.15,0.18,125,0.616,0.223,0.602,0.925,0.729,0.743,0.892,0.81
run_059,3.5,0.2,0.15,0.22,125,0.614,0.219,0.6,0.925,0.728,0.742,0.895,0.811
run_060,3.5,0.2,0.15,0.25,125,0.615,0.219,0.601,0.927,0.729,0.742,0.897,0.812
run_061,4.5,0.1,0.1,0.12,125,0.678,0.442,0.663,0.864,0.75,0.757,0.802,0.779
run_062,4.5,0.1,0.1,0.15,125,0.681,0.439,0.664,0.871,0.753,0.757,0.809,0.782
run_063,4.5,0.1,0.1,0.18,125,0.68,0.435,0.662,0.873,0.753,0.757,0.813,0.784
run_064,4.5,0.1,0.1,0.22,125,0.678,0.43,0.661,0.873,0.752,0.756,0.815,0.784
run_065,4.5,0.1,0.1,0.25,125,0.678,0.428,0.66,0.875,0.752,0.756,0.817,0.785
run_066,4.5,0.1,0.15,0.12,125,0.68,0.446,0.664,0.864,0.751,0.758,0.802,0.779
run_067,4.5,0.1,0.15,0.15,125,0.683,0.444,0.665,0.871,0.755,0.758,0.809,0.783
run_068,4.5,0.1,0.15,0.18,125,0.682,0.439,0.664,0.873,0.754,0.758,0.813,0.784
run_069,4.5,0.1,0.15,0.22,125,0.68,0.435,0.662,0.873,0.753,0.757,0.815,0.785
run_070,4.5,0.1,0.15,0.25,125,0.68,0.433,0.662,0.875,0.754,0.757,0.817,0.786
run_071,4.5,0.15,0.1,0.12,125,0.678,0.442,0.663,0.864,0.75,0.757,0.802,0.779
run_072,4.5,0.15,0.1,0.15,125,0.681,0.439,0.664,0.871,0.753,0.757,0.809,0.782
run_073,4.5,0.15,0.1,0.18,125,0.68,0.435,0.662,0.873,0.753,0.757,0.813,0.784
run_074,4.5,0.15,0.1,0.22,125,0.678,0.43,0.661,0.873,0.752,0.756,0.815,0.784
run_075,4.5,0.15,0.1,0.25,125,0.678,0.428,0.66,0.875,0.752,0.756,0.817,0.785
run_076,4.5,0.15,0.15,0.12,125,0.68,0.446,0.664,0.864,0.751,0.758,0.802,0.779
run_077,4.5,0.15,0.15,0.15,125,0.683,0.444,0.665,0.871,0.755,0.758,0.809,0.783
run_078,4.5,0.15,0.15,0.18,125,0.682,0.439,0.664,0.873,0.754,0.758,0.813,0.784
run_079,4.5,0.15,0.15,0.22,125,0.68,0.435,0.662,0.873,0.753,0.757,0.815,0.785
run_080,4.5,0.15,0.15,0.25,125,0.68,0.433,0.662,0.875,0.754,0.757,0.817,0.786
run_081,4.5,0.2,0.1,0.12,125,0.678,0.442,0.663,0.864,0.75,0.757,0.802,0.779
run_082,4.5,0.2,0.1,0.15,125,0.681,0.439,0.664,0.871,0.753,0.757,0.809,0.782
run_083,4.5,0.2,0.1,0.18,125,0.68,0.435,0.662,0.873,0.753,0.757,0.813,0.784
run_084,4.5,0.2,0.1,0.22,125,0.678,0.43,0.661,0.873,0.752,0.756,0.815,0.784
run_085,4.5,0.2,0.1,0.25,125,0.678,0.428,0.66,0.875,0.752,0.756,0.817,0.785
run_086,4.5,0.2,0.15,0.12,125,0.68,0.446,0.664,0.864,0.751,0.758,0.802,0.779
run_087,4.5,0.2,0.15,0.15,125,0.683,0.444,0.665,0.871,0.755,0.758,0.809,0.783
run_088,4.5,0.2,0.15,0.18,125,0.682,0.439,0.664,0.873,0.754,0.758,0.813,0.784
run_089,4.5,0.2,0.15,0.22,125,0.68,0.435,0.662,0.873,0.753,0.757,0.815,0.785
run_090,4.5,0.2,0.15,0.25,125,0.68,0.433,0.662,0.875,0.754,0.757,0.817,0.786
